participant,language,task,word,stop,foll_vowel,type,duration,excl,negvotva,posvotva,
001,en,r1,pair,p,ɛ,POS_VOT,33,,,,
001,en,r1,poor,p,ɒ,POS_VOT,55,,,,
001,en,r1,burst,b,ɜː,,,NR,,,
001,en,r1,tears,t,ɪə,POS_VOT,68,,,,
001,en,r1,don't,d,o,POS_VOT,15,,,,
001,en,r1,bit,b,ɪ,POS_VOT,14,,,,
001,en,r1,delicate,d,ɛ,POS_VOT,18,,,,
001,en,r1,courage,k,ʌ,POS_VOT,52,,,,
001,en,r1,ducky,d,ʌ,,,NR,,,
001,en,r1,to,t,ə,POS_VOT,65,,,,
001,en,r1,got,ɡ,ɑ,POS_VOT,14,,,,
001,en,r1,tissue,t,ɪ,POS_VOT,54,,,,
001,en,r1,down,d,aʊ,NEG_VOT,-94,,,,at 118 s
001,en,r1,perky,p,ɜː,POS_VOT,47,,,,
001,en,r1,turkey,t,ɜː,POS_VOT,85,,,,
001,en,r1,picking,p,ɪ,POS_VOT,20,,,,
001,en,r1,perky,p,ɜː,,,NR,,,
001,en,r1,turkey,t,ɜː,,,NR,,,
001,en,r1,day,d,eɪ,POS_VOT,30,,,,
001,en,r1,day,d,eɪ,POS_VOT,15,,,,
001,en,r1,perky,p,ɜː,POS_VOT,35,,,,
001,en,r1,turkey,t,ɜː,,,NR,,,
001,en,r1,dear,d,iː,POS_VOT,22,,,,
001,en,r1,disaster,d,ɪ,POS_VOT,8,,,,
001,en,r1,bawled,b,ɒː,NEG_VOT,-42,,,,
001,en,r1,doomed,d,uː,,,VA,-70,17,
001,en,r1,goodness,ɡ,ʊ,POS_VOT,25,,,,
001,en,r1,can't,k,æ,POS_VOT,51,,,,
001,en,r1,be,b,iː,,,NR,,,
001,en,r1,bad,b,æ,,,NR,,,
001,en,r1,perky,p,ɜː,POS_VOT,41,,,,
001,en,r1,turkey,t,ɝ,POS_VOT,42,,,,
001,en,r1,to,t,ə,POS_VOT,39,,,,
001,en,r1,down,d,aʊ,,,NR,,,
001,en,r1,be,b,iː,POS_VOT,69,,,,
001,en,r1,declare,d,ɪ,POS_VOT,15,,,,
001,en,r1,ducky,d,ʌ,,,NR,,,
001,en,r1,coordinating,k,ə,POS_VOT,59,,,,
001,en,r1,better,b,ɛ,NEG_VOT,-73,,,,
001,en,r1,come,k,ʌ,POS_VOT,78,,,,
001,en,r1,perky,p,ɜː,,,NR,,,
001,en,r1,turkey,t,ɜː,POS_VOT,44,,,,
001,en,r1,count,k,aʊ,POS_VOT,52,,,,at 180 s
001,en,r1,down,d,aʊ,NEG_VOT,-72,,,,
001,en,r1,by,b,aɪ,,,NR,,,
001,en,r1,bog,b,ɒ,POS_VOT,23,,,,
001,en,r1,piggly,p,ɪ,POS_VOT,17,,,,
001,en,r1,piece,p,iː,,,NR,,,
001,en,r1,piggy,p,ɪ,POS_VOT,15,,,,
001,en,r1,panicking,p,æ,POS_VOT,64,,,,
001,en,r1,paranoid,p,æ,POS_VOT,59,,,,
001,en,r1,got,ɡ,ɑ,POS_VOT,42,,,,
